ap_visit_id,turbine_id,visit_date,ground_condition,kentledge_recommended,max_crane_capacity_t,exclusion_zone_m,notes,latitude,longitude
ab8f68c5-d886-43b9-9d9c-9c9e83837bee,T389,28 02 2021,Good,TRUE,700,98,Synthetic AP inspection record,474089.44,6194538.52
b44bc694-23d8-4280-880b-b218d25905ea,T044,16 10 2023,Poor,TRUE,300,145,Synthetic AP inspection record,474674.83,6193879.04
e9c23176-1d29-4472-ad0c-28e854dc19b7,T206,8 06 2021,Poor,TRUE,300,144,Synthetic AP inspection record,474398.01,6194015.3
303999a9-3b89-4b8a-a97a-6fcc80c7a9d1,T355,19 06 2024,Moderate,TRUE,500,107,Synthetic AP inspection record,474134.26,6194144.52
388f6d13-b4eb-4f60-9b4d-6452363b60b7,T014,10 06 2021,Good,TRUE,700,98,Synthetic AP inspection record,473871.16,6194272.61
ec6537af-0c76-4411-8747-098b74e156d0,T167,18 04 2022,Moderate,FALSE,500,109,Synthetic AP inspection record,460170.26,6210725.68
ef2ccb9f-b714-40c8-9643-7b20b102835d,T240,6 05 2021,Moderate,FALSE,500,100,Synthetic AP inspection record,460068.35,6211008.16
66267656-465a-4526-8bba-f31e6a7024f3,T084,23 04 2022,Poor,TRUE,300,128,Synthetic AP inspection record,459961.14,6211305.04
397ee6f0-6d54-4987-8c36-5c9af3cd923c,T319,24 09 2023,Moderate,FALSE,500,117,Synthetic AP inspection record,459856.46,6211595.22
01511e95-9583-4e98-9928-0a607cfc1662,T197,19 03 2024,Moderate,TRUE,500,117,Synthetic AP inspection record,459751.87,6211885.66
c95b4c27-99b5-4781-97f7-d40277195bc5,T072,15 04 2023,Poor,TRUE,300,142,Synthetic AP inspection record,459654.75,6210731.07
b3e6486d-f085-4c88-82b8-b0a134b93bd7,T261,5 06 2021,Poor,TRUE,300,144,Synthetic AP inspection record,459188.84,6211936.76
f63ac714-606c-486c-a18e-7738bb296c14,T150,26 12 2021,Good,TRUE,700,88,Synthetic AP inspection record,459074.49,6212232.2
a1cd3250-a525-4ffc-a097-9ab655f71211,T395,7 11 2020,Poor,TRUE,300,122,Synthetic AP inspection record,464456.79,6189428.58
0acf3a2e-96fa-497e-a359-8a67b966bbbf,T027,29 12 2022,Moderate,FALSE,500,103,Synthetic AP inspection record,464186.82,6189656.72
ed179b26-253d-47f1-bc2b-3e5e09d74d6d,T183,26 11 2021,Moderate,TRUE,500,120,Synthetic AP inspection record,463916.73,6189884.9
0ebfabdb-5d5d-4f6d-9781-ed5a4fce058f,T334,15 09 2020,Moderate,TRUE,500,116,Synthetic AP inspection record,463647.03,6190113.28
a3d9ca99-9b92-4088-aba6-d14cb6895ba9,T064,13 11 2021,Moderate,TRUE,500,114,Synthetic AP inspection record,463377.36,6190342.24
e411b9ae-24d7-45dd-878b-5fe15dc9f709,T214,22 05 2023,Moderate,TRUE,500,114,Synthetic AP inspection record,463107.62,6190569.26
69a052ec-1557-45a5-9704-dc454e08efee,T348,31 03 2024,Moderate,FALSE,500,118,Synthetic AP inspection record,462838.02,6190798.16
cf7c138f-a633-4f33-902b-64c8daabd69e,T111,4 08 2023,Poor,TRUE,300,138,Synthetic AP inspection record,444712.68,6206577.5
da042b88-20cb-4515-b131-47d4e39dd13c,T289,30 07 2021,Moderate,TRUE,500,110,Synthetic AP inspection record,444640.95,6206937.89
bd458fd6-096c-42ce-b62a-ff20ba98deed,T052,21 01 2021,Poor,TRUE,300,120,Synthetic AP inspection record,444566.53,6207293.53
67ae3c29-387e-4581-aeb0-1b22ff4a135f,T371,9 05 2022,Moderate,TRUE,500,118,Synthetic AP inspection record,483797.43,6207163.36
acec31f9-48a9-43f6-a3e1-edfed54d72c4,T093,2 03 2021,Moderate,FALSE,500,100,Synthetic AP inspection record,483934.37,6207596.61
3d762681-6909-44f8-9d86-1ef939e35409,T227,5 09 2023,Moderate,TRUE,500,118,Synthetic AP inspection record,484066.65,6208036.82
fcad07d0-836e-4a9d-9967-eecb4362af02,T160,18 07 2021,Good,FALSE,700,94,Synthetic AP inspection record,484199.97,6208463.86
0eade8ea-7728-43e7-a888-54f274437175,T412,20 10 2021,Good,FALSE,700,83,Synthetic AP inspection record,483511.76,6207713.3
a07989a7-e40c-4823-aa70-ae9d96a34678,T019,24 12 2020,Poor,TRUE,300,124,Synthetic AP inspection record,483225.57,6208270.36
81e86b8d-761a-4867-99b1-7d9c00df367c,T295,16 06 2024,Moderate,FALSE,500,114,Synthetic AP inspection record,459424.16,6211327.43
677b7ce6-8324-4516-9f16-ca123893313c,T078,13 06 2024,Moderate,TRUE,500,102,Synthetic AP inspection record,458349,6189557.9
d89821f1-ea95-495e-8d7a-4205261f5e8a,T343,14 12 2020,Good,TRUE,700,81,Synthetic AP inspection record,458208.9,6189875.1
959c1444-f262-428e-9625-54654e5e7eaa,T135,10 05 2023,Good,FALSE,700,94,Synthetic AP inspection record,458068.8,6190192.4
8e8fd47d-d746-4a04-a80d-ffc0af1e9362,T266,1 01 2024,Poor,TRUE,300,128,Synthetic AP inspection record,457997.4,6189470.7
be8bee32-b194-4516-80e1-617b91db5eb6,T401,18 08 2024,Good,TRUE,700,88,Synthetic AP inspection record,457847.7,6189809.7
1bf947a5-66d7-4d9d-8b64-2fe74ff99d64,T061,8 11 2022,Moderate,FALSE,500,117,Synthetic AP inspection record,458149.2,6189127.1
778d5c77-0dcf-42ed-a024-4ba5a5df5990,T208,3 04 2022,Moderate,FALSE,500,105,Synthetic AP inspection record,483250,6186606
e41e9b78-e319-4fb4-a12f-b0cb80342156,T329,21 09 2023,Good,FALSE,700,96,Synthetic AP inspection record,483285,6186957
d93f833e-2c01-4ca8-8c59-3b5e7055abf5,T146,11 09 2022,Good,FALSE,700,95,Synthetic AP inspection record,483319,6187308
6ae4872c-7313-4e84-bfe2-fe4a2d6fa34a,T094,30 05 2023,Good,FALSE,700,93,Synthetic AP inspection record,482854,6186670
17a027e0-7fb6-4637-a6c8-930bf221413b,T358,11 12 2020,Moderate,TRUE,500,107,Synthetic AP inspection record,482888,6187021
045043f4-7495-457e-98ad-7d13e15e4c42,T032,10 04 2023,Poor,TRUE,300,150,Synthetic AP inspection record,482923,6187373
1075399e-f1af-4289-9796-4944775a5dab,T199,8 06 2024,Good,FALSE,700,83,Synthetic AP inspection record,463705.09,6190611.11
4c43d672-aea3-4d9b-958f-6895632c2b56,T244,7 02 2021,Poor,TRUE,300,132,Synthetic AP inspection record,463973.12,6190384.8
904d0b4e-0576-451f-ab02-aabed83ea875,T114,10 04 2021,Poor,TRUE,300,124,Synthetic AP inspection record,464242.01,6190157.01
0ebaedf5-52e9-4ee0-aaa3-6ea9308d3029,T316,12 09 2022,Good,FALSE,700,80,Synthetic AP inspection record,464510.17,6189930.2
2c5a6122-6850-44b4-8669-773a1a5659a0,T055,18 01 2024,Good,FALSE,700,91,Synthetic AP inspection record,464777.12,6189704.77
883dec21-063b-48e4-80eb-aa75f3ab738c,T386,26 04 2024,Moderate,FALSE,500,102,Synthetic AP inspection record,465046.01,6189477.01
753d5f39-2d24-40f5-bd24-6483dfef0b5d,T021,28 09 2021,Good,TRUE,700,81,Synthetic AP inspection record,464723.95,6189203.23
310e87a2-7b72-494f-b080-dd7b0ea281ad,T273,12 01 2024,Poor,TRUE,300,145,Synthetic AP inspection record,463067.76,6190087.71
145b64a3-de87-4a83-88c5-a2cd260fa34a,T168,2 04 2024,Poor,TRUE,300,140,Synthetic AP inspection record,463336.28,6189860.66
e2544b86-4c85-4d73-8431-b6936d9e3b39,T331,8 06 2021,Moderate,TRUE,500,120,Synthetic AP inspection record,463605.65,6189629.37
5a917816-0576-4476-9a8a-a6557b60fd60,T087,24 10 2021,Poor,TRUE,300,124,Synthetic AP inspection record,463876.43,6189404.13
1f288b7a-5aca-4cbf-9d84-6c18cab27d34,T259,31 03 2021,Good,TRUE,700,80,Synthetic AP inspection record,464146.98,6189174.97
d4a96004-4926-4708-b6d3-dd635aa00a68,T141,5 03 2023,Moderate,TRUE,500,100,Synthetic AP inspection record,464417.65,6188946.05
00afc570-8dd0-4f8d-ad3c-a95d08813494,T405,1 03 2021,Good,FALSE,700,94,Synthetic AP inspection record,457413,6209509
13acdd0b-1557-4908-8807-b23bf77f20fa,T048,28 05 2021,Moderate,FALSE,500,115,Synthetic AP inspection record,457512,6208823
276e8bf4-5e41-4f38-9eb9-288b13839850,T216,1 10 2022,Good,FALSE,700,88,Synthetic AP inspection record,479023.36,6207801.74
22e6d0ac-5c20-42f5-8723-cf17e6c3c73a,T367,20 03 2022,Good,TRUE,700,84,Synthetic AP inspection record,479344.29,6207695.81
7f8e633c-a33f-49b3-a927-945d5d237f18,T105,26 09 2021,Poor,TRUE,300,126,Synthetic AP inspection record,479666.13,6207588.5
5557f2e9-ac9e-4697-855e-98a307a573fa,T293,2 09 2021,Good,FALSE,700,83,Synthetic AP inspection record,462102.09,6215999.77
5e9c32bd-57e7-4881-a365-7151f8a24168,T070,28 02 2024,Good,FALSE,700,98,Synthetic AP inspection record,461797.39,6216175.17
67966024-e0f1-4282-90dd-c71cd0777115,T350,24 09 2022,Moderate,FALSE,500,113,Synthetic AP inspection record,461492.93,6216350.36
858879eb-355f-432c-82c3-1385eb1ae2d5,T124,14 10 2020,Good,FALSE,700,80,Synthetic AP inspection record,461188.3,6216525.1
607ce7ab-eff5-40bd-87bd-9c0616364ca9,T281,5 05 2021,Good,FALSE,700,91,Synthetic AP inspection record,460883.75,6216701.09
c26c6dbb-eb50-4253-8c35-c8326484b370,T090,30 03 2022,Moderate,TRUE,500,110,Synthetic AP inspection record,460578.7,6216876.12
a9e36519-519b-4165-be93-af610cd5cba3,T322,2 04 2024,Moderate,FALSE,500,105,Synthetic AP inspection record,460275.41,6217050.92
246266d1-e88b-439a-b9d8-82b74092723e,T156,21 07 2023,Good,TRUE,700,81,Synthetic AP inspection record,459970.13,6217226.59
514cdf3d-7403-4d1d-a1f1-8a366a304b9d,T398,20 06 2021,Poor,TRUE,300,122,Synthetic AP inspection record,459666.25,6217401.13
e935682a-a108-4c56-9622-1d4f2aac697d,T013,15 06 2022,Moderate,FALSE,500,100,Synthetic AP inspection record,459360.79,6217576.27
2eab376b-198f-4807-a667-ea7fc51dabe3,T193,2 04 2024,Poor,TRUE,300,137,Synthetic AP inspection record,459057.24,6217751.65
85cc1adf-4cb1-41ed-b769-239bf704a9be,T337,9 01 2024,Good,TRUE,700,80,Synthetic AP inspection record,462503.35,6216313.58
728b2c40-613c-48c5-804e-723fdb5566e6,T059,26 12 2021,Good,FALSE,700,84,Synthetic AP inspection record,462189.75,6216494.4
625b3f0e-c251-46bb-b064-cb9c02749cc4,T225,11 11 2021,Moderate,TRUE,500,102,Synthetic AP inspection record,461876.4,6216673.9
d204369e-22ed-4806-a7d1-bb71f6bcc7ce,T312,3 03 2021,Moderate,FALSE,500,111,Synthetic AP inspection record,461563.31,6216854.58
8b29cdf3-9c02-4198-87df-36d68011bd98,T101,13 04 2022,Good,TRUE,700,93,Synthetic AP inspection record,461250.42,6217033.97
c975029a-4009-48f8-8c56-8b298c8d34ac,T268,8 06 2021,Good,FALSE,700,83,Synthetic AP inspection record,460939.89,6217214.66
79a8a866-996a-4bde-b45e-05351ad1d241,T047,27 09 2021,Good,TRUE,700,99,Synthetic AP inspection record,460623.61,6217394.85
58448468-359c-4c85-bed1-39ed931d46b9,T379,2 06 2023,Poor,TRUE,300,148,Synthetic AP inspection record,460309.42,6217575.93
fb1f8089-75ba-446f-86bf-a9d0a86e19d7,T082,5 04 2021,Moderate,FALSE,500,101,Synthetic AP inspection record,460001.2,6217756.08
aa3c56b9-64f4-4fc1-8d2e-2b3c7b998706,T296,10 12 2020,Moderate,TRUE,500,110,Synthetic AP inspection record,503496.19,6169445.68
5e6513bd-485f-4f3d-b455-fb39e355e32e,T162,1 11 2020,Moderate,TRUE,500,105,Synthetic AP inspection record,503231.91,6169583.76
eafc0dee-f60d-4a9f-980e-212e231df228,T406,16 11 2021,Moderate,TRUE,500,111,Synthetic AP inspection record,502968.3,6169720.72
8d0b1a53-26d4-4845-8617-136f13ba5fa6,T105,11 01 2021,Good,FALSE,700,97,Synthetic AP inspection record,502702.81,6169860.47
eed8b1e4-04dc-4e42-8e46-134aa3bc3b36,T106,29 09 2022,Poor,TRUE,300,124,Synthetic AP inspection record,490581.03,6181838.54
e40fbe7b-c1e0-4f04-b6a6-af123ac701a3,T107,9 10 2022,Moderate,TRUE,500,102,Synthetic AP inspection record,490315,6182045.95
b8358ea5-97c0-4f1c-a46a-6752a8470008,T108,21 02 2023,Good,FALSE,700,92,Synthetic AP inspection record,490048.63,6182253.01
653382de-0eaf-40d7-b866-44567a071da5,T109,16 02 2024,Good,TRUE,700,80,Synthetic AP inspection record,486575.21,6185007.78
60e4e490-000e-44d5-bb61-6ce554d87b70,T110,10 04 2023,Good,FALSE,700,91,Synthetic AP inspection record,486598.28,6184649.43
23b97bf5-c2fa-4be5-b65e-260a724a82cd,T111,16 07 2023,Good,FALSE,700,92,Synthetic AP inspection record,486621.31,6184297.97
98a574a3-b748-4857-b180-136d7317b71e,T112,3 07 2023,Poor,TRUE,300,136,Synthetic AP inspection record,487059.07,6185157.14
cb1a36e3-e3b3-4514-9f6f-7d6f900e3c7c,T113,8 05 2021,Moderate,FALSE,500,102,Synthetic AP inspection record,487081.85,6184800.65
993d0c71-a909-4fa8-b209-d214120b81ec,T114,24 09 2022,Poor,TRUE,300,120,Synthetic AP inspection record,487105.52,6184447.52
5656bdf6-c20f-4ab2-89e0-00a04ea7c181,T115,25 01 2022,Moderate,TRUE,500,111,Synthetic AP inspection record,503494.09,6172288.44
a8aed35d-0035-4259-a803-fce09c0bc198,T116,5 07 2022,Poor,TRUE,300,134,Synthetic AP inspection record,503349.4,6172483.9
ee640793-d7f2-46c5-9bad-1054d0f1454b,T117,4 04 2024,Good,FALSE,700,93,Synthetic AP inspection record,503200.14,6172680.17
de4ec328-4848-464c-a163-4e00ce8df392,T118,9 03 2023,Moderate,TRUE,500,103,Synthetic AP inspection record,490764.65,6252286.81
6e7d9919-735d-4bbf-a458-46a296273e62,T119,16 10 2020,Moderate,TRUE,500,107,Synthetic AP inspection record,491001.37,6252012.15
ed5b792e-dd45-4a06-9352-99989ae20c81,T120,15 09 2023,Moderate,TRUE,500,119,Synthetic AP inspection record,491235.54,6251739.54
