mce_id,turbine_id,component,blade_removal,kentledge_required,crane_class,crane_capacity_t,tech_count,start_date,end_date,duration_days,weather_delay,latitude,longitude
MCE_020,T298,Generator,FALSE,FALSE,Medium,350,5,21 08 2022,23 08 2022,1.83,FALSE,474599.76,6194268.31
MCE_021,T121,Generator,TRUE,FALSE,Medium,350,5,6 06 2023,12 06 2023,5.58,TRUE,474343.77,6194406.23
MCE_022,T389,Gearbox,TRUE,FALSE,Heavy,600,6,4 07 2021,8 07 2021,4.49,FALSE,474089.44,6194538.52
MCE_023,T044,Generator,TRUE,FALSE,Medium,350,5,12 01 2023,16 01 2023,3.57,FALSE,474674.83,6193879.04
MCE_024,T206,Transformer,FALSE,FALSE,Medium,350,4,31 07 2021,2 08 2021,1.53,FALSE,474398.01,6194015.3
MCE_025,T355,Main Bearing,TRUE,TRUE,Heavy,600,6,16 11 2024,22 11 2024,5.77,FALSE,474134.26,6194144.52
MCE_026,T014,Main Bearing,FALSE,FALSE,Heavy,600,6,27 09 2021,1 10 2021,4.21,TRUE,473871.16,6194272.61
MCE_027,T167,Generator,TRUE,FALSE,Medium,350,5,25 07 2022,29 07 2022,3.69,FALSE,460170.26,6210725.68
MCE_028,T240,Generator,TRUE,FALSE,Medium,350,5,31 05 2021,6 06 2021,6.46,TRUE,460068.35,6211008.16
MCE_029,T084,Gearbox,FALSE,TRUE,Heavy,600,6,15 08 2022,19 08 2022,3.57,TRUE,459961.14,6211305.04
MCE_030,T319,Generator,FALSE,FALSE,Medium,350,5,12 05 2023,14 05 2023,2.38,FALSE,459856.46,6211595.22
MCE_031,T197,Main Bearing,TRUE,TRUE,Heavy,600,6,4 09 2024,11 09 2024,6.63,FALSE,459751.87,6211885.66
MCE_032,T072,Main Bearing,TRUE,FALSE,Heavy,600,6,26 08 2023,31 08 2023,4.87,FALSE,459654.75,6210731.07
MCE_033,T261,Main Bearing,TRUE,FALSE,Heavy,600,6,10 02 2021,18 02 2021,7.54,TRUE,459188.84,6211936.76
MCE_034,T150,Main Bearing,TRUE,FALSE,Heavy,600,6,25 02 2022,2 03 2022,5.07,FALSE,459074.49,6212232.2
MCE_035,T395,Transformer,FALSE,FALSE,Medium,350,4,5 05 2021,7 05 2021,1.52,FALSE,464456.79,6189428.58
MCE_036,T027,Transformer,TRUE,TRUE,Medium,350,4,5 05 2023,9 05 2023,4.31,FALSE,464186.82,6189656.72
MCE_037,T183,Gearbox,TRUE,TRUE,Heavy,600,6,3 10 2022,8 10 2022,5.19,FALSE,463916.73,6189884.9
MCE_038,T334,Gearbox,FALSE,FALSE,Heavy,600,6,26 01 2021,29 01 2021,3.04,TRUE,463647.03,6190113.28
MCE_039,T064,Main Bearing,TRUE,TRUE,Heavy,600,6,29 01 2022,4 02 2022,5.9,FALSE,463377.36,6190342.24
MCE_040,T214,Gearbox,TRUE,TRUE,Heavy,600,6,23 09 2023,1 10 2023,7.77,TRUE,463107.62,6190569.26
MCE_041,T348,Generator,FALSE,FALSE,Medium,350,5,27 06 2024,30 06 2024,3.01,TRUE,462838.02,6190798.16
MCE_042,T111,Gearbox,TRUE,TRUE,Heavy,600,6,22 01 2024,27 01 2024,4.7,FALSE,444712.68,6206577.5
MCE_043,T289,Main Bearing,TRUE,TRUE,Heavy,600,6,19 01 2022,25 01 2022,5.51,TRUE,444640.95,6206937.89
MCE_044,T052,Gearbox,FALSE,TRUE,Heavy,600,6,23 06 2021,27 06 2021,3.65,FALSE,444566.53,6207293.53
MCE_045,T371,Gearbox,TRUE,FALSE,Heavy,600,6,15 08 2022,20 08 2022,4.74,TRUE,483797.43,6207163.36
MCE_046,T093,Generator,TRUE,FALSE,Medium,350,5,17 03 2021,21 03 2021,4.13,FALSE,483934.37,6207596.61
MCE_047,T227,Main Bearing,TRUE,TRUE,Heavy,600,6,14 10 2023,21 10 2023,7.48,TRUE,484066.65,6208036.82
MCE_048,T160,Generator,TRUE,FALSE,Medium,350,5,16 09 2021,19 09 2021,2.89,FALSE,484199.97,6208463.86
MCE_049,T412,Generator,FALSE,FALSE,Medium,350,5,28 10 2021,30 10 2021,1.63,FALSE,483511.76,6207713.3
MCE_050,T019,Gearbox,FALSE,TRUE,Heavy,600,6,27 04 2021,30 04 2021,3.46,FALSE,483225.57,6208270.36
MCE_051,T295,Transformer,FALSE,FALSE,Medium,350,4,19 10 2024,20 10 2024,1.45,FALSE,459424.16,6211327.43
MCE_052,T078,Main Bearing,TRUE,FALSE,Heavy,600,6,25 11 2024,1 12 2024,5.68,FALSE,458349,6189557.9
MCE_053,T343,Gearbox,FALSE,FALSE,Heavy,600,6,30 05 2021,1 06 2021,2.41,FALSE,458208.9,6189875.1
MCE_054,T135,Transformer,FALSE,FALSE,Medium,350,4,6 01 2023,8 01 2023,1.74,FALSE,458068.8,6190192.4
MCE_055,T266,Main Bearing,TRUE,TRUE,Heavy,600,6,6 10 2024,12 10 2024,6.41,FALSE,457997.4,6189470.7
MCE_056,T401,Gearbox,TRUE,TRUE,Heavy,600,6,12 05 2024,20 05 2024,7.65,TRUE,457847.7,6189809.7
MCE_057,T061,Generator,FALSE,TRUE,Medium,350,5,17 01 2023,20 01 2023,3.22,FALSE,458149.2,6189127.1
MCE_058,T208,Transformer,FALSE,TRUE,Medium,350,4,20 04 2022,23 04 2022,2.5,FALSE,483250,6186606
MCE_059,T329,Transformer,FALSE,FALSE,Medium,350,4,26 02 2024,28 02 2024,1.77,FALSE,483285,6186957
MCE_060,T146,Transformer,FALSE,FALSE,Medium,350,4,11 08 2022,14 08 2022,3.11,TRUE,483319,6187308
MCE_061,T094,Generator,TRUE,FALSE,Medium,350,5,19 09 2023,24 09 2023,4.75,TRUE,482854,6186670
MCE_062,T358,Gearbox,TRUE,FALSE,Heavy,600,6,4 09 2021,8 09 2021,3.71,FALSE,482888,6187021
MCE_063,T032,Gearbox,TRUE,TRUE,Heavy,600,6,24 06 2023,29 06 2023,4.74,FALSE,482923,6187373
MCE_064,T199,Generator,FALSE,FALSE,Medium,350,5,11 05 2024,13 05 2024,2.39,FALSE,463705.09,6190611.11
MCE_065,T244,Gearbox,TRUE,FALSE,Heavy,600,6,21 06 2021,26 06 2021,4.86,FALSE,463973.12,6190384.8
MCE_066,T114,Transformer,FALSE,FALSE,Medium,350,4,20 05 2021,23 05 2021,2.67,TRUE,464242.01,6190157.01
MCE_067,T316,Generator,TRUE,FALSE,Medium,350,5,23 09 2022,26 09 2022,3.18,FALSE,464510.17,6189930.2
MCE_068,T055,Transformer,FALSE,FALSE,Medium,350,4,2 04 2024,4 04 2024,1.73,FALSE,464777.12,6189704.77
MCE_069,T386,Generator,FALSE,FALSE,Medium,350,5,7 04 2024,9 04 2024,1.89,FALSE,465046.01,6189477.01
MCE_070,T021,Gearbox,TRUE,FALSE,Heavy,600,6,3 12 2022,7 12 2022,3.68,FALSE,464723.95,6189203.23
MCE_071,T273,Transformer,FALSE,FALSE,Medium,350,4,19 04 2024,20 04 2024,1.46,FALSE,463067.76,6190087.71
MCE_072,T168,Gearbox,TRUE,TRUE,Heavy,600,6,8 11 2024,13 11 2024,4.67,FALSE,463336.28,6189860.66
MCE_073,T331,Gearbox,FALSE,FALSE,Heavy,600,6,20 10 2021,22 10 2021,2.11,FALSE,463605.65,6189629.37
MCE_074,T087,Generator,FALSE,FALSE,Medium,350,5,12 02 2021,14 02 2021,2.14,FALSE,463876.43,6189404.13
MCE_075,T259,Gearbox,TRUE,FALSE,Heavy,600,6,7 04 2021,11 04 2021,4.32,FALSE,464146.98,6189174.97
MCE_076,T141,Main Bearing,TRUE,TRUE,Heavy,600,6,17 07 2023,23 07 2023,6.43,FALSE,464417.65,6188946.05
MCE_077,T405,Transformer,FALSE,FALSE,Medium,350,4,4 03 2021,5 03 2021,1.2,FALSE,457413,6209509
MCE_078,T048,Generator,FALSE,FALSE,Medium,350,5,21 07 2021,23 07 2021,2.31,TRUE,457512,6208823
MCE_079,T216,Generator,FALSE,FALSE,Medium,350,5,11 03 2022,13 03 2022,1.95,FALSE,479023.36,6207801.74
MCE_080,T367,Gearbox,FALSE,TRUE,Heavy,600,6,18 07 2022,24 07 2022,6.2,TRUE,479344.29,6207695.81
MCE_081,T105,Main Bearing,TRUE,FALSE,Heavy,600,6,11 03 2021,15 03 2021,4.11,FALSE,479666.13,6207588.5
MCE_082,T293,Transformer,FALSE,FALSE,Medium,350,4,28 11 2021,1 12 2021,2.61,TRUE,462102.09,6215999.77
MCE_083,T070,Generator,TRUE,FALSE,Medium,350,5,19 08 2024,23 08 2024,3.88,FALSE,461797.39,6216175.17
MCE_084,T350,Generator,TRUE,FALSE,Medium,350,5,18 02 2023,22 02 2023,3.8,FALSE,461492.93,6216350.36
MCE_085,T124,Generator,FALSE,FALSE,Medium,350,5,16 01 2021,18 01 2021,2.28,FALSE,461188.3,6216525.1
MCE_086,T281,Generator,FALSE,FALSE,Medium,350,5,28 09 2021,30 09 2021,2.37,TRUE,460883.75,6216701.09
MCE_087,T090,Gearbox,TRUE,TRUE,Heavy,600,6,4 11 2022,11 11 2022,6.54,TRUE,460578.7,6216876.12
MCE_088,T322,Generator,TRUE,FALSE,Medium,350,5,31 07 2024,3 08 2024,3.37,FALSE,460275.41,6217050.92
MCE_089,T156,Gearbox,TRUE,FALSE,Heavy,600,6,15 10 2023,22 10 2023,6.67,TRUE,459970.13,6217226.59
MCE_090,T398,Main Bearing,TRUE,FALSE,Heavy,600,6,12 11 2021,17 11 2021,5.19,TRUE,459666.25,6217401.13
MCE_091,T013,Transformer,FALSE,FALSE,Medium,350,4,28 07 2022,31 07 2022,2.51,TRUE,459360.79,6217576.27
MCE_092,T193,Main Bearing,FALSE,TRUE,Heavy,600,6,13 06 2024,18 06 2024,4.62,FALSE,459057.24,6217751.65
MCE_093,T337,Main Bearing,TRUE,FALSE,Heavy,600,6,27 03 2024,2 04 2024,5.61,TRUE,462503.35,6216313.58
MCE_094,T059,Transformer,FALSE,FALSE,Medium,350,4,27 01 2022,30 01 2022,2.93,TRUE,462189.75,6216494.4
MCE_095,T225,Main Bearing,TRUE,TRUE,Heavy,600,6,2 05 2022,8 05 2022,5.76,FALSE,461876.4,6216673.9
MCE_096,T312,Transformer,FALSE,FALSE,Medium,350,4,25 05 2021,29 05 2021,3.56,TRUE,461563.31,6216854.58
MCE_097,T101,Gearbox,TRUE,TRUE,Heavy,600,6,5 05 2022,11 05 2022,6.25,TRUE,461250.42,6217033.97
MCE_098,T268,Transformer,FALSE,FALSE,Medium,350,4,25 09 2021,27 09 2021,2.24,TRUE,460939.89,6217214.66
MCE_099,T047,Gearbox,FALSE,FALSE,Heavy,600,6,2 12 2022,5 12 2022,2.57,FALSE,460623.61,6217394.85
MCE_100,T379,Transformer,FALSE,FALSE,Medium,350,4,17 07 2023,19 07 2023,2.24,TRUE,460309.42,6217575.93
MCE_101,T082,Transformer,FALSE,FALSE,Medium,350,4,6 05 2021,8 05 2021,2.43,TRUE,460001.2,6217756.08
MCE_102,T296,Main Bearing,TRUE,TRUE,Heavy,600,6,3 09 2021,8 09 2021,4.94,FALSE,503496.19,6169445.68
MCE_103,T162,Gearbox,FALSE,FALSE,Heavy,600,6,1 01 2021,4 01 2021,3.32,TRUE,503231.91,6169583.76
MCE_104,T406,Gearbox,FALSE,FALSE,Heavy,600,6,12 02 2021,15 02 2021,2.96,FALSE,502968.3,6169720.72
MCE_105,T105,Generator,TRUE,FALSE,Medium,350,5,15 05 2021,18 05 2021,3.45,FALSE,502702.81,6169860.47
MCE_106,T106,Generator,FALSE,FALSE,Medium,350,5,16 12 2022,18 12 2022,2.18,FALSE,490581.03,6181838.54
MCE_107,T107,Main Bearing,TRUE,FALSE,Heavy,600,6,11 09 2022,16 09 2022,4.91,TRUE,490315,6182045.95
MCE_108,T108,Generator,FALSE,TRUE,Medium,350,5,25 04 2023,28 04 2023,3,FALSE,490048.63,6182253.01
MCE_109,T109,Main Bearing,TRUE,FALSE,Heavy,600,6,4 01 2024,9 01 2024,5.07,FALSE,486575.21,6185007.78
MCE_110,T110,Transformer,FALSE,FALSE,Medium,350,4,9 06 2023,10 06 2023,1.43,FALSE,486598.28,6184649.43
MCE_111,T111,Transformer,FALSE,TRUE,Medium,350,4,1 04 2024,5 04 2024,3.67,TRUE,486621.31,6184297.97
MCE_112,T112,Generator,FALSE,FALSE,Medium,350,5,13 12 2023,16 12 2023,3.11,TRUE,487059.07,6185157.14
MCE_113,T113,Generator,TRUE,FALSE,Medium,350,5,6 05 2021,11 05 2021,4.63,TRUE,487081.85,6184800.65
MCE_114,T114,Main Bearing,TRUE,FALSE,Heavy,600,6,22 03 2023,27 03 2023,5,FALSE,487105.52,6184447.52
MCE_115,T115,Main Bearing,TRUE,FALSE,Heavy,600,6,6 07 2022,10 07 2022,3.64,FALSE,503494.09,6172288.44
MCE_116,T116,Transformer,FALSE,TRUE,Medium,350,4,30 11 2022,2 12 2022,2.1,FALSE,503349.4,6172483.9
MCE_117,T117,Generator,FALSE,FALSE,Medium,350,5,9 01 2024,11 01 2024,2.39,FALSE,503200.14,6172680.17
MCE_118,T118,Main Bearing,TRUE,FALSE,Heavy,600,6,5 06 2023,9 06 2023,3.81,FALSE,490764.65,6252286.81
MCE_119,T119,Gearbox,TRUE,TRUE,Heavy,600,6,20 01 2021,26 01 2021,5.65,FALSE,491001.37,6252012.15
MCE_120,T120,Main Bearing,TRUE,TRUE,Heavy,600,6,30 12 2023,6 01 2024,6.82,TRUE,491235.54,6251739.54
